"TYPE","NAME","ADDRESS","COMM_CODE","POINT"
"Community Centre","Shaganappi Community Centre","2608 14 AV SW","SHG","POINT (-114.1189406 51.039922)"
"Court","Alberta Provincial Court (Youth)","# 201-N 601 5 ST SW","DNC","POINT (-114.0741375 51.0469323)"
"Attraction","BMO Centre",,,"POINT (-114.0559253 51.0380265)"
"Attraction","Telus Convention Centre","120 9 AV SE","DNC","POINT (-114.0618335 51.0447327)"
"Community Centre","Spruce Cliff Community Centre","3375 Spruce DR SW","SPR","POINT (-114.1363442 51.0475105)"
"Community Centre","Silver Springs Community Centre","5720 Silver Ridge DR NW","SIL","POINT (-114.1925444 51.1046589)"
"Attraction","Fish Creek Provincial Park (Bow Valley Ranch)","15979 Bow Bottom TR SE","FPK","POINT (-114.0151218 50.9093453)"
"Community Centre","Crossroads Community Centre","1803 14 AV NE","MAL","POINT (-114.0191443 51.0651698)"
"Attraction","Calgary Zoo, Botanical Garden & Prehistoric Park","1300 Zoo RD NE","BRD","POINT (-114.0316536 51.0440726)"
"Community Centre","Palliser, Bayview, Pumphill Community Centre","2323 Palliser DR SW","PAL","POINT (-114.11374 50.9686369)"
"PHS Clinic","Thornhill Community Health Centre","6617 Centre ST NW","HUN","POINT (-114.0639289 51.1121929)"
"Attraction","Calgary Chamber of Commerce","237 8 Ave SE","DNC","POINT (-114.0632475 51.0476395)"
"Attraction","Glenbow Alberta Museum","130 9 AV SE","DNC","POINT (-114.0611379 51.0447128)"
"Library","Rocky Ridge Library","11300 ROCKY RIDGE RD NW","01K","POINT (-114.2312356 51.1570548)"
"Library","Nose Hill Library","1530 NORTHMOUNT DR NW","BRE","POINT (-114.138849 51.0965497)"
"Community Centre","Elbow Park Community Centre","800 34 AV SW","EPK","POINT (-114.0821897 51.0234686)"
"Community Centre","Coach Hill/Patterson Heights Community Centre","60 Patterson BV SW","PAT","POINT (-114.1778609 51.0613876)"
"Community Centre","Lake Bonavista Community Centre","1401 Acadia DR SW","LKB","POINT (-114.0492261 50.9369523)"
"Community Centre","Hounsfield Heights/Briar Hill Community Centre","1922 14 AV NW","HOU","POINT (-114.1041219 51.0662336)"
"Attraction","The Confluence Historic Site & Parkland","750 9 AV SE","DNE","POINT (-114.0452026 51.0440655)"
"Community Centre","Monterey Park Community Centre","2707 Catalina BV NE","MOR","POINT (-113.9308989 51.076361)"
